,year,venue,url
207,2019,acl,https://www.aclweb.org/anthology/P19-1206.pdf
208,2019,acl,https://www.aclweb.org/anthology/P19-1207.pdf
209,2019,acl,https://www.aclweb.org/anthology/P19-1208.pdf
210,2019,acl,https://www.aclweb.org/anthology/P19-1209.pdf
211,2019,acl,https://www.aclweb.org/anthology/P19-1210.pdf
212,2019,acl,https://www.aclweb.org/anthology/P19-1211.pdf
213,2019,acl,https://www.aclweb.org/anthology/P19-1212.pdf
214,2019,acl,https://www.aclweb.org/anthology/P19-1213.pdf
215,2019,acl,https://www.aclweb.org/anthology/P19-1214.pdf
216,2019,acl,https://www.aclweb.org/anthology/P19-1215.pdf
217,2019,acl,https://www.aclweb.org/anthology/P19-1216.pdf
218,2019,acl,https://www.aclweb.org/anthology/P19-1217.pdf
219,2019,acl,https://www.aclweb.org/anthology/P19-1218.pdf
220,2019,acl,https://www.aclweb.org/anthology/P19-1219.pdf
221,2019,acl,https://www.aclweb.org/anthology/P19-1220.pdf
222,2019,acl,https://www.aclweb.org/anthology/P19-1221.pdf
223,2019,acl,https://www.aclweb.org/anthology/P19-1222.pdf
224,2019,acl,https://www.aclweb.org/anthology/P19-1223.pdf
225,2019,acl,https://www.aclweb.org/anthology/P19-1224.pdf
226,2019,acl,https://www.aclweb.org/anthology/P19-1225.pdf
227,2019,acl,https://www.aclweb.org/anthology/P19-1226.pdf
228,2019,acl,https://www.aclweb.org/anthology/P19-1227.pdf
229,2019,acl,https://www.aclweb.org/anthology/P19-1228.pdf
230,2019,acl,https://www.aclweb.org/anthology/P19-1229.pdf
231,2019,acl,https://www.aclweb.org/anthology/P19-1230.pdf
232,2019,acl,https://www.aclweb.org/anthology/P19-1231.pdf
233,2019,acl,https://www.aclweb.org/anthology/P19-1232.pdf
234,2019,acl,https://www.aclweb.org/anthology/P19-1233.pdf
235,2019,acl,https://www.aclweb.org/anthology/P19-1234.pdf
236,2019,acl,https://www.aclweb.org/anthology/P19-1235.pdf
237,2019,acl,https://www.aclweb.org/anthology/P19-1236.pdf
238,2019,acl,https://www.aclweb.org/anthology/P19-1237.pdf
239,2019,acl,https://www.aclweb.org/anthology/P19-1238.pdf
240,2019,acl,https://www.aclweb.org/anthology/P19-1239.pdf
241,2019,acl,https://www.aclweb.org/anthology/P19-1240.pdf
242,2019,acl,https://www.aclweb.org/anthology/P19-1241.pdf
243,2019,acl,https://www.aclweb.org/anthology/P19-1242.pdf
244,2019,acl,https://www.aclweb.org/anthology/P19-1243.pdf
245,2019,acl,https://www.aclweb.org/anthology/P19-1244.pdf
246,2019,acl,https://www.aclweb.org/anthology/P19-1245.pdf
247,2019,acl,https://www.aclweb.org/anthology/P19-1246.pdf
248,2019,acl,https://www.aclweb.org/anthology/P19-1247.pdf
249,2019,acl,https://www.aclweb.org/anthology/P19-1248.pdf
250,2019,acl,https://www.aclweb.org/anthology/P19-1249.pdf
251,2019,acl,https://www.aclweb.org/anthology/P19-1250.pdf
252,2019,acl,https://www.aclweb.org/anthology/P19-1251.pdf
253,2019,acl,https://www.aclweb.org/anthology/P19-1252.pdf
254,2019,acl,https://www.aclweb.org/anthology/P19-1253.pdf
255,2019,acl,https://www.aclweb.org/anthology/P19-1254.pdf
256,2019,acl,https://www.aclweb.org/anthology/P19-1255.pdf
257,2019,acl,https://www.aclweb.org/anthology/P19-1256.pdf
